Date,Close,High,Low,Open,Volume
2023-10-25,168.81674194335938,170.75057806188605,168.3727349771656,169.58633193718455,57157000
2023-10-26,164.66290283203125,169.09299056011605,163.45918215856796,168.0964590692853,70625300
2023-10-27,165.9751739501953,166.70530437202822,164.60372353518264,164.6826577744484,58499100
2023-10-30,168.0175323486328,168.8857938712959,166.61648356307745,166.76449089816728,51131000
2023-10-31,168.49114990234375,168.61940486913602,165.65943861592592,167.09010101577766,44846000
2023-11-01,171.6484375,171.90496247869652,167.849808268541,168.71806981976965,56934900
2023-11-02,175.20037841796875,175.40756758774253,173.11853525669227,173.17773216234193,77334800
2023-11-03,174.2926788330078,174.46042350768224,171.0367278993792,171.91485064572058,79829200
2023-11-06,176.8382568359375,177.035584920202,173.85856813665714,174.02629776104038,63841300
2023-11-07,179.39366149902344,180.00538292517788,176.5816880659098,176.7888772337267,70530000
2023-11-08,180.4493865966797,181.00191115396063,179.1667317000403,179.91659936077735,49340300
2023-11-09,179.97579956054688,181.66297171772456,179.38380034968415,180.51846299464347,53763500
2023-11-10,184.15484619140625,184.32281184408907,181.3194195461175,181.75412225306079,66133400
2023-11-13,182.5741424560547,183.7893232540613,181.9912524470517,183.58186108306094,43627500
2023-11-14,185.1823272705078,185.84425545326624,184.0560589323069,185.4391901985185,60108400
2023-11-15,185.74545288085938,187.21751156501972,185.5182274044454,185.5873915048758,53790500
2023-11-16,187.4249725341797,188.6599164347462,186.37772744350028,187.28665942031617,54412900
2023-11-17,187.40525817871094,188.08694980194565,186.29875297867935,187.95851077872672,50922700
2023-11-20,189.14401245117188,189.59847845797387,187.5929306882813,187.60280481288592,46505100
2023-11-21,188.34378051757812,189.21318592585277,187.45462685911554,189.10451024981845,38134500
2023-11-22,189.00572204589844,190.60620477415247,188.53150773289747,189.18356183514956,39617700
2023-11-24,187.68185424804688,188.60064536615056,186.970525284031,188.57100791556658,24048300
2023-11-27,187.50399780273438,188.3734031425855,186.6247183385664,187.63243679384846,40552600
2023-11-28,188.10665893554688,188.77847629228074,187.1187037624085,187.49413155220094,38415400
2023-11-29,187.0890655517578,189.77630481775705,186.69388951411068,188.60063575450744,43014200
2023-11-30,187.66207885742188,188.02763251612237,185.92328320995222,187.55340318726755,48794400
2023-12-01,188.93655395507812,189.2526917735191,186.95075439627809,188.0375111237308,45704800
2023-12-04,187.14833068847656,187.76087311237956,185.19218377665425,187.69170901814908,43389500
2023-12-05,191.09031677246094,192.05850876803487,187.88933609882633,187.91898862751913,66628400
2023-12-06,190.00352478027344,192.41412246881444,189.79604758423204,192.1078588115612,41089700
2023-12-07,191.93008422851562,192.65128739108172,191.25826677194576,191.29779342674496,47477700
2023-12-08,193.3527069091797,193.62933314213194,191.33726998338577,191.86088500111674,53406400
2023-12-11,190.85321044921875,191.1594892758114,189.1144144313186,190.7840614125706,60943700
